year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Casey Affleck (Manchester by the Sea),True,0.6992,1,Casey Affleck (Manchester by the Sea),Casey Affleck (Manchester by the Sea),1,True
2016,Viggo Mortensen (Captain Fantastic),False,0.35,2,Casey Affleck (Manchester by the Sea),Casey Affleck (Manchester by the Sea),1,True
2016,Ryan Gosling (La La Land),False,0.2719,3,Casey Affleck (Manchester by the Sea),Casey Affleck (Manchester by the Sea),1,True
2016,Andrew Garfield (Hacksaw Ridge),False,0.2425,4,Casey Affleck (Manchester by the Sea),Casey Affleck (Manchester by the Sea),1,True
2016,Jake Gyllenhaal (Nocturnal Animals),False,0.1831,5,Casey Affleck (Manchester by the Sea),Casey Affleck (Manchester by the Sea),1,True
2017,Gary Oldman (Darkest Hour),True,0.6082,1,Gary Oldman (Darkest Hour),Gary Oldman (Darkest Hour),1,True
2017,Timothée Chalamet (Call Me by Your Name),False,0.3051,2,Gary Oldman (Darkest Hour),Gary Oldman (Darkest Hour),1,True
2017,Daniel Kaluuya (Get Out),False,0.264,3,Gary Oldman (Darkest Hour),Gary Oldman (Darkest Hour),1,True
2017,Daniel Day Lewis (Phantom Thread),False,0.2383,4,Gary Oldman (Darkest Hour),Gary Oldman (Darkest Hour),1,True
2018,Rami Malek (Bohemian Rhapsody),True,0.5165,1,Rami Malek (Bohemian Rhapsody),Rami Malek (Bohemian Rhapsody),1,True
2018,Viggo Mortensen (Green Book),False,0.2191,2,Rami Malek (Bohemian Rhapsody),Rami Malek (Bohemian Rhapsody),1,True
2018,Christian Bale (Vice),False,0.2142,3,Rami Malek (Bohemian Rhapsody),Rami Malek (Bohemian Rhapsody),1,True
2018,Bradley Cooper (A Star Is Born),False,0.1772,4,Rami Malek (Bohemian Rhapsody),Rami Malek (Bohemian Rhapsody),1,True
2019,Joaquin Phoenix (Joker),True,0.5147,1,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2019,Adam Driver (Marriage Story),False,0.4218,2,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2019,Jonathan Pryce (The Two Popes),False,0.3307,3,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2019,Person_Taron_Egerton (Rocketman),False,0.1699,4,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2019,Leonardo DiCaprio (Once upon a Time...in Hollywood),False,0.1092,5,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2020,Anthony Hopkins (The Father),True,0.5915,1,Anthony Hopkins (The Father),Anthony Hopkins (The Father),1,True
2020,Riz Ahmed (Sound of Metal),False,0.2784,2,Anthony Hopkins (The Father),Anthony Hopkins (The Father),1,True
2020,Person_Chadwick_Boseman_posthumous (Ma Rainey's Black Bottom),False,0.2427,3,Anthony Hopkins (The Father),Anthony Hopkins (The Father),1,True
2020,Person_Mads_Mikkelsen (Another Round),False,0.2369,4,Anthony Hopkins (The Father),Anthony Hopkins (The Father),1,True
2020,Person_Adarsh_Gourav (The White Tiger),False,0.1312,5,Anthony Hopkins (The Father),Anthony Hopkins (The Father),1,True
2021,Will Smith (King Richard),True,0.5373,1,Will Smith (King Richard),Will Smith (King Richard),1,True
2021,Benedict Cumberbatch (The Power of the Dog),False,0.3399,2,Will Smith (King Richard),Will Smith (King Richard),1,True
2021,Leonardo DiCaprio (Don't Look Up),False,0.2123,3,Will Smith (King Richard),Will Smith (King Richard),1,True
2022,Brendan Fraser (The Whale),False,0.6388,1,Brendan Fraser (The Whale),Austin Butler (Elvis),4,False
2022,Colin Farrell (The Banshees of Inisherin),False,0.5254,2,Brendan Fraser (The Whale),Austin Butler (Elvis),4,False
