rank,feature,importance
1,oscars_actor_winner,0.07832079817128382
2,num_wikidata_awards,0.07606536943970425
3,budget_revenue_ratio,0.07025134633431945
4,vote_count,0.06428632589551991
5,popularity,0.06415122271968367
6,vote_average,0.0627860461516615
7,log_revenue,0.05162000096687205
8,golden_globes_actor_winner,0.049720151706292806
9,rotten_tomatoes_pct,0.04701509952613263
10,runtime,0.04569228405870331
11,revenue,0.04510255013651143
12,imdb_rating,0.04001660239001471
13,sag_actor_winner,0.038104783092426125
14,oscars_actor_nominee,0.0321756640620483
15,other_noms,0.025794578535383653
16,num_production_companies,0.025412767573318704
17,above_line_noms,0.02217694832448422
18,golden_globes_actor_nominee,0.015773735152508638
19,globe_winner,0.013315797061086805
20,sag_actor_nominee,0.012823255852519118
21,writing_noms,0.011185034122989632
22,previous_actor_nominations,0.010714787060385476
23,acting_noms,0.010654275104681088
24,country_uk,0.009730512173763544
25,genre_history,0.008514255538963553
26,genre_comedy,0.008239712845160726
27,previous_all_wins,0.007657709483959784
28,directing_nom,0.007593657362852404
29,genre_thriller,0.006707441239793286
30,cinematography_nom,0.006256913380475471
31,previous_actor_wins,0.005082184048362175
32,genre_war,0.004750703545274136
33,genre_drama,0.00448920106955568
34,genre_adventure,0.003517168339555722
35,genre_mystery,0.0035108438417639125
36,pga_winner,0.0025829416359058107
37,has_tagline,0.0024805326736688144
38,genre_action,0.0015096368609199356
39,english_language,0.001271107158419642
40,golden_lion,0.0008292226080732257
41,country_non_english,0.0007396929510230199
42,genre_fantasy,0.0006893424529055758
43,palme_dor,0.0003337254744364197
44,genre_science_fiction,0.0003325925376923895
45,genre_horror,2.147933894353569e-05
46,cannes_grand_prix,0.0
47,genre_family,0.0
