year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Person_Tom_Ford (Nocturnal Animals),False,0.9238,1,Person_Tom_Ford (Nocturnal Animals),Luke Davies (Lion),4,False
2016,Allison Schroeder (Hidden Figures),False,0.3563,2,Person_Tom_Ford (Nocturnal Animals),Luke Davies (Lion),4,False
2016,Theodore Melfi (Hidden Figures),False,0.3563,3,Person_Tom_Ford (Nocturnal Animals),Luke Davies (Lion),4,False
2016,Luke Davies (Lion),True,0.0692,4,Person_Tom_Ford (Nocturnal Animals),Luke Davies (Lion),4,False
2016,Eric Heisserer (Arrival),False,0.0332,5,Person_Tom_Ford (Nocturnal Animals),Luke Davies (Lion),4,False
2016,Person_Andrew_Knight (Hacksaw Ridge),False,0.0011,6,Person_Tom_Ford (Nocturnal Animals),Luke Davies (Lion),4,False
2016,Person_Robert_Schenkkan (Hacksaw Ridge),False,0.0011,7,Person_Tom_Ford (Nocturnal Animals),Luke Davies (Lion),4,False
2017,James Ivory (Call Me by Your Name),True,0.1459,1,James Ivory (Call Me by Your Name),James Ivory (Call Me by Your Name),1,True
2017,Aaron Sorkin (Molly's Game),False,0.0084,2,James Ivory (Call Me by Your Name),James Ivory (Call Me by Your Name),1,True
2018,Charlie Wachtel (BlacKkKlansman),True,0.7678,1,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,David Rabinowitz (BlacKkKlansman),True,0.7678,2,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,Kevin Willmott (BlacKkKlansman),True,0.7678,3,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,Person_and_Spike_Lee (BlacKkKlansman),True,0.7678,4,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,Barry Jenkins (If Beale Street Could Talk),False,0.7672,5,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,Josh Singer (First Man),False,0.5863,6,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,Bradley Cooper (A Star Is Born),False,0.4984,7,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,Eric Roth (A Star Is Born),False,0.4984,8,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,Person_and_Will_Fetters (A Star Is Born),False,0.4984,9,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,Jeff Whitty (Can You Ever Forgive Me?),False,0.139,10,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2018,Nicole Holofcener (Can You Ever Forgive Me?),False,0.139,11,Charlie Wachtel (BlacKkKlansman),Charlie Wachtel (BlacKkKlansman),1,True
2019,Greta Gerwig (Little Women),False,0.9236,1,Greta Gerwig (Little Women),Taika Waititi (Jojo Rabbit),2,False
2019,Taika Waititi (Jojo Rabbit),True,0.1485,2,Greta Gerwig (Little Women),Taika Waititi (Jojo Rabbit),2,False
2019,Steven Zaillian (The Irishman),False,0.0936,3,Greta Gerwig (Little Women),Taika Waititi (Jojo Rabbit),2,False
2019,Anthony McCarten (The Two Popes),False,0.0635,4,Greta Gerwig (Little Women),Taika Waititi (Jojo Rabbit),2,False
2019,Scott Silver (Joker),False,0.0064,5,Greta Gerwig (Little Women),Taika Waititi (Jojo Rabbit),2,False
2019,Todd Phillips (Joker),False,0.0064,6,Greta Gerwig (Little Women),Taika Waititi (Jojo Rabbit),2,False
2020,Chloé Zhao (Nomadland),False,0.2934,1,Chloé Zhao (Nomadland),Christopher Hampton (The Father),3,False
2020,Ramin Bahrani (The White Tiger),False,0.2077,2,Chloé Zhao (Nomadland),Christopher Hampton (The Father),3,False
2020,Christopher Hampton (The Father),True,0.0182,3,Chloé Zhao (Nomadland),Christopher Hampton (The Father),3,False
2020,Florian Zeller (The Father),True,0.0182,4,Chloé Zhao (Nomadland),Christopher Hampton (The Father),3,False
2021,Ryusuke Hamaguchi (Drive My Car),False,0.72,1,Ryusuke Hamaguchi (Drive My Car),Person_Sian_Heder (CODA),3,False
2021,Takamasa Oe (Drive My Car),False,0.72,2,Ryusuke Hamaguchi (Drive My Car),Person_Sian_Heder (CODA),3,False
2021,Person_Sian_Heder (CODA),True,0.5187,3,Ryusuke Hamaguchi (Drive My Car),Person_Sian_Heder (CODA),3,False
