year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Kenneth Lonergan (Manchester by the Sea),True,0.6876,1,Kenneth Lonergan (Manchester by the Sea),Kenneth Lonergan (Manchester by the Sea),1,True
2016,Damien Chazelle (La La Land),False,0.658,2,Kenneth Lonergan (Manchester by the Sea),Kenneth Lonergan (Manchester by the Sea),1,True
2016,Taylor Sheridan (Hell or High Water),False,0.486,3,Kenneth Lonergan (Manchester by the Sea),Kenneth Lonergan (Manchester by the Sea),1,True
2016,Barry Jenkins (Moonlight),False,0.4353,4,Kenneth Lonergan (Manchester by the Sea),Kenneth Lonergan (Manchester by the Sea),1,True
2018,Person_Janusz_G_owacki (Cold War),False,0.9032,1,Person_Janusz_G_owacki (Cold War),Deborah Davis (The Favourite),4,False
2018,Person_Pawe_Pawlikowski (Cold War),False,0.9032,2,Person_Janusz_G_owacki (Cold War),Deborah Davis (The Favourite),4,False
2018,Alfonso Cuarón (Roma),False,0.6196,3,Person_Janusz_G_owacki (Cold War),Deborah Davis (The Favourite),4,False
2018,Deborah Davis (The Favourite),True,0.4949,4,Person_Janusz_G_owacki (Cold War),Deborah Davis (The Favourite),4,False
2018,Tony McNamara (The Favourite),True,0.4949,5,Person_Janusz_G_owacki (Cold War),Deborah Davis (The Favourite),4,False
2018,Person_Brian_Hayes_Currie (Green Book),False,0.463,6,Person_Janusz_G_owacki (Cold War),Deborah Davis (The Favourite),4,False
2018,Nick Vallelonga (Green Book),False,0.463,7,Person_Janusz_G_owacki (Cold War),Deborah Davis (The Favourite),4,False
2018,Peter Farrelly (Green Book),False,0.463,8,Person_Janusz_G_owacki (Cold War),Deborah Davis (The Favourite),4,False
2018,Adam McKay (Vice),False,0.1733,9,Person_Janusz_G_owacki (Cold War),Deborah Davis (The Favourite),4,False
2019,Noah Baumbach (Marriage Story),False,0.8789,1,Noah Baumbach (Marriage Story),Person_Bong_Joon_ho (Parasite),2,False
2019,Person_Bong_Joon_ho (Parasite),True,0.7736,2,Noah Baumbach (Marriage Story),Person_Bong_Joon_ho (Parasite),2,False
2019,Han Jin Won (Parasite),True,0.7736,3,Noah Baumbach (Marriage Story),Person_Bong_Joon_ho (Parasite),2,False
2019,Rian Johnson (Knives Out),False,0.3529,4,Noah Baumbach (Marriage Story),Person_Bong_Joon_ho (Parasite),2,False
2020,Thomas Vinterberg (Another Round),False,0.5387,1,Thomas Vinterberg (Another Round),Emerald Fennell (Promising Young Woman),5,False
2020,Person_Tobias_Lindholm (Another Round),False,0.5387,2,Thomas Vinterberg (Another Round),Emerald Fennell (Promising Young Woman),5,False
2020,Aaron Sorkin (The Trial of the Chicago 7),False,0.3663,3,Thomas Vinterberg (Another Round),Emerald Fennell (Promising Young Woman),5,False
2020,Person_Jack_Fincher (Mank),False,0.1787,4,Thomas Vinterberg (Another Round),Emerald Fennell (Promising Young Woman),5,False
2020,Emerald Fennell (Promising Young Woman),True,0.178,5,Thomas Vinterberg (Another Round),Emerald Fennell (Promising Young Woman),5,False
2021,Paul Thomas Anderson (Licorice Pizza),True,0.4746,1,Paul Thomas Anderson (Licorice Pizza),Paul Thomas Anderson (Licorice Pizza),1,True
2021,Zach Baylin (King Richard),False,0.2989,2,Paul Thomas Anderson (Licorice Pizza),Paul Thomas Anderson (Licorice Pizza),1,True
2021,Kenneth Branagh (Belfast),False,0.1898,3,Paul Thomas Anderson (Licorice Pizza),Paul Thomas Anderson (Licorice Pizza),1,True
2021,Aaron Sorkin (Being the Ricardos),False,0.1757,4,Paul Thomas Anderson (Licorice Pizza),Paul Thomas Anderson (Licorice Pizza),1,True
2021,Adam McKay (Don't Look Up),False,0.0952,5,Paul Thomas Anderson (Licorice Pizza),Paul Thomas Anderson (Licorice Pizza),1,True
2022,Martin McDonagh (The Banshees of Inisherin),True,0.7237,1,Martin McDonagh (The Banshees of Inisherin),Martin McDonagh (The Banshees of Inisherin),1,True
2022,Daniel Kwan (Everything Everywhere All at Once),False,0.6016,2,Martin McDonagh (The Banshees of Inisherin),Martin McDonagh (The Banshees of Inisherin),1,True
2022,Daniel Scheinert (Everything Everywhere All at Once),False,0.6016,3,Martin McDonagh (The Banshees of Inisherin),Martin McDonagh (The Banshees of Inisherin),1,True
2022,Todd Field (Tár),False,0.5638,4,Martin McDonagh (The Banshees of Inisherin),Martin McDonagh (The Banshees of Inisherin),1,True
2022,Steven Spielberg (The Fabelmans),False,0.2283,5,Martin McDonagh (The Banshees of Inisherin),Martin McDonagh (The Banshees of Inisherin),1,True
2022,Tony Kushner (The Fabelmans),False,0.2283,6,Martin McDonagh (The Banshees of Inisherin),Martin McDonagh (The Banshees of Inisherin),1,True
2022,Ruben Östlund (Triangle of Sadness),False,0.1213,7,Martin McDonagh (The Banshees of Inisherin),Martin McDonagh (The Banshees of Inisherin),1,True
2023,David Hemingson (The Holdovers),False,0.7377,1,David Hemingson (The Holdovers),Arthur Harari (Anatomy of a Fall),3,False
2023,Celine Song (Past Lives),False,0.6476,2,David Hemingson (The Holdovers),Arthur Harari (Anatomy of a Fall),3,False
2023,Arthur Harari (Anatomy of a Fall),True,0.4841,3,David Hemingson (The Holdovers),Arthur Harari (Anatomy of a Fall),3,False
2023,Justine Triet (Anatomy of a Fall),True,0.4841,4,David Hemingson (The Holdovers),Arthur Harari (Anatomy of a Fall),3,False
2023,Josh Singer (Maestro),False,0.4554,5,David Hemingson (The Holdovers),Arthur Harari (Anatomy of a Fall),3,False
2023,Bradley Cooper (Maestro),False,0.3994,6,David Hemingson (The Holdovers),Arthur Harari (Anatomy of a Fall),3,False
2023,Greta Gerwig (Barbie),False,0.1539,7,David Hemingson (The Holdovers),Arthur Harari (Anatomy of a Fall),3,False
2023,Noah Baumbach (Barbie),False,0.1539,8,David Hemingson (The Holdovers),Arthur Harari (Anatomy of a Fall),3,False
2024,Sean Baker (Anora),False,0.6742,1,Sean Baker (Anora),Jesse Eisenberg (A Real Pain),5,False
2024,Brady Corbet (The Brutalist),False,0.6115,2,Sean Baker (Anora),Jesse Eisenberg (A Real Pain),5,False
2024,Mona Fastvold (The Brutalist),False,0.6115,3,Sean Baker (Anora),Jesse Eisenberg (A Real Pain),5,False
2024,Coralie Fargeat (The Substance),False,0.3092,4,Sean Baker (Anora),Jesse Eisenberg (A Real Pain),5,False
2024,Jesse Eisenberg (A Real Pain),True,0.1885,5,Sean Baker (Anora),Jesse Eisenberg (A Real Pain),5,False
