year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Person_Aaron_Taylor_Johnson (Nocturnal Animals),False,0.8458,1,Person_Aaron_Taylor_Johnson (Nocturnal Animals),Dev Patel (Lion),2,False
2016,Dev Patel (Lion),True,0.5976,2,Person_Aaron_Taylor_Johnson (Nocturnal Animals),Dev Patel (Lion),2,False
2016,Jeff Bridges (Hell or High Water),False,0.3646,3,Person_Aaron_Taylor_Johnson (Nocturnal Animals),Dev Patel (Lion),2,False
2016,Mahershala Ali (Moonlight),False,0.3423,4,Person_Aaron_Taylor_Johnson (Nocturnal Animals),Dev Patel (Lion),2,False
2016,Person_Hugh_Grant (Florence Foster Jenkins),False,0.1762,5,Person_Aaron_Taylor_Johnson (Nocturnal Animals),Dev Patel (Lion),2,False
2018,Mahershala Ali (Green Book),True,0.9031,1,Mahershala Ali (Green Book),Mahershala Ali (Green Book),1,True
2018,Sam Rockwell (Vice),False,0.566,2,Mahershala Ali (Green Book),Mahershala Ali (Green Book),1,True
2018,Adam Driver (BlacKkKlansman),False,0.4334,3,Mahershala Ali (Green Book),Mahershala Ali (Green Book),1,True
2018,Richard E. Grant (Can You Ever Forgive Me?),False,0.323,4,Mahershala Ali (Green Book),Mahershala Ali (Green Book),1,True
2020,Daniel Kaluuya (Judas and the Black Messiah),True,0.5352,1,Daniel Kaluuya (Judas and the Black Messiah),Daniel Kaluuya (Judas and the Black Messiah),1,True
2020,Paul Raci (Sound of Metal),False,0.2409,2,Daniel Kaluuya (Judas and the Black Messiah),Daniel Kaluuya (Judas and the Black Messiah),1,True
2020,Leslie Odom Jr. (One Night in Miami...),False,0.1963,3,Daniel Kaluuya (Judas and the Black Messiah),Daniel Kaluuya (Judas and the Black Messiah),1,True
2020,Person_Alan_Kim (Minari),False,0.1703,4,Daniel Kaluuya (Judas and the Black Messiah),Daniel Kaluuya (Judas and the Black Messiah),1,True
2020,Person_Clarke_Peters (Da 5 Bloods),False,0.1522,5,Daniel Kaluuya (Judas and the Black Messiah),Daniel Kaluuya (Judas and the Black Messiah),1,True
2021,Kodi Smit-McPhee (The Power of the Dog),False,0.7021,1,Kodi Smit-McPhee (The Power of the Dog),Troy Kotsur (CODA),2,False
2021,Troy Kotsur (CODA),True,0.5383,2,Kodi Smit-McPhee (The Power of the Dog),Troy Kotsur (CODA),2,False
2021,Ciarán Hinds (Belfast),False,0.4143,3,Kodi Smit-McPhee (The Power of the Dog),Troy Kotsur (CODA),2,False
2021,Jesse Plemons (The Power of the Dog),False,0.2812,4,Kodi Smit-McPhee (The Power of the Dog),Troy Kotsur (CODA),2,False
2021,Person_Mike_Faist (West Side Story),False,0.1686,5,Kodi Smit-McPhee (The Power of the Dog),Troy Kotsur (CODA),2,False
2022,Person_Albrecht_Schuch (All Quiet on the Western Front),False,0.4875,1,Person_Albrecht_Schuch (All Quiet on the Western Front),Barry Keoghan (The Banshees of Inisherin),3,False
2022,Ke Huy Quan (Everything Everywhere All at Once),False,0.4603,2,Person_Albrecht_Schuch (All Quiet on the Western Front),Barry Keoghan (The Banshees of Inisherin),3,False
2022,Barry Keoghan (The Banshees of Inisherin),True,0.3578,3,Person_Albrecht_Schuch (All Quiet on the Western Front),Barry Keoghan (The Banshees of Inisherin),3,False
2022,Brendan Gleeson (The Banshees of Inisherin),False,0.3578,4,Person_Albrecht_Schuch (All Quiet on the Western Front),Barry Keoghan (The Banshees of Inisherin),3,False
2022,Person_Micheal_Ward (Empire of Light),False,0.3319,5,Person_Albrecht_Schuch (All Quiet on the Western Front),Barry Keoghan (The Banshees of Inisherin),3,False
2023,Robert Downey Jr. (Oppenheimer),True,0.8145,1,Robert Downey Jr. (Oppenheimer),Robert Downey Jr. (Oppenheimer),1,True
2023,Person_Dominic_Sessa (The Holdovers),False,0.4725,2,Robert Downey Jr. (Oppenheimer),Robert Downey Jr. (Oppenheimer),1,True
2023,Ryan Gosling (Barbie),False,0.3565,3,Robert Downey Jr. (Oppenheimer),Robert Downey Jr. (Oppenheimer),1,True
2023,Robert De Niro (Killers of the Flower Moon),False,0.16,4,Robert Downey Jr. (Oppenheimer),Robert Downey Jr. (Oppenheimer),1,True
2024,Kieran Culkin (A Real Pain),True,0.7209,1,Kieran Culkin (A Real Pain),Kieran Culkin (A Real Pain),1,True
2024,Edward Norton (A Complete Unknown),False,0.4671,2,Kieran Culkin (A Real Pain),Kieran Culkin (A Real Pain),1,True
2024,Clarence Maclin (Sing Sing),False,0.3976,3,Kieran Culkin (A Real Pain),Kieran Culkin (A Real Pain),1,True
2024,Yura Borisov (Anora),False,0.3322,4,Kieran Culkin (A Real Pain),Kieran Culkin (A Real Pain),1,True
2024,Jeremy Strong (The Apprentice),False,0.2928,5,Kieran Culkin (A Real Pain),Kieran Culkin (A Real Pain),1,True
2024,Guy Pearce (The Brutalist),False,0.2773,6,Kieran Culkin (A Real Pain),Kieran Culkin (A Real Pain),1,True
