year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Jennifer Lame (Manchester by the Sea),False,0.6776,1,Jennifer Lame (Manchester by the Sea),John Gilbert (Hacksaw Ridge),3,False
2016,Joe Walker (Arrival),False,0.1284,2,Jennifer Lame (Manchester by the Sea),John Gilbert (Hacksaw Ridge),3,False
2016,John Gilbert (Hacksaw Ridge),True,0.1023,3,Jennifer Lame (Manchester by the Sea),John Gilbert (Hacksaw Ridge),3,False
2016,Person_Joan_Sobel (Nocturnal Animals),False,0.0909,4,Jennifer Lame (Manchester by the Sea),John Gilbert (Hacksaw Ridge),3,False
2016,Tom Cross (La La Land),False,0.0497,5,Jennifer Lame (Manchester by the Sea),John Gilbert (Hacksaw Ridge),3,False
2017,Sidney Wolinsky (The Shape of Water),False,0.307,1,Sidney Wolinsky (The Shape of Water),Jonathan Amos (Baby Driver),2,False
2017,Jonathan Amos (Baby Driver),True,0.085,2,Sidney Wolinsky (The Shape of Water),Jonathan Amos (Baby Driver),2,False
2017,Paul Machliss (Baby Driver),True,0.085,3,Sidney Wolinsky (The Shape of Water),Jonathan Amos (Baby Driver),2,False
2017,Lee Smith (Dunkirk),False,0.0279,4,Sidney Wolinsky (The Shape of Water),Jonathan Amos (Baby Driver),2,False
2017,Joe Walker (Blade Runner 2049),False,0.0172,5,Sidney Wolinsky (The Shape of Water),Jonathan Amos (Baby Driver),2,False
2018,Yorgos Mavropsaridis (The Favourite),False,0.7329,1,Yorgos Mavropsaridis (The Favourite),Hank Corwin (Vice),5,False
2018,Person_Adam_Gough (Roma),False,0.6741,2,Yorgos Mavropsaridis (The Favourite),Hank Corwin (Vice),5,False
2018,Alfonso Cuarón (Roma),False,0.6741,3,Yorgos Mavropsaridis (The Favourite),Hank Corwin (Vice),5,False
2018,Tom Cross (First Man),False,0.0448,4,Yorgos Mavropsaridis (The Favourite),Hank Corwin (Vice),5,False
2018,Hank Corwin (Vice),True,0.0132,5,Yorgos Mavropsaridis (The Favourite),Hank Corwin (Vice),5,False
2018,John Ottman (Bohemian Rhapsody),False,0.0081,6,Yorgos Mavropsaridis (The Favourite),Hank Corwin (Vice),5,False
2019,Tom Eagles (Jojo Rabbit),False,0.5995,1,Tom Eagles (Jojo Rabbit),Andrew Buckland (Ford v Ferrari),2,False
2019,Andrew Buckland (Ford v Ferrari),True,0.291,2,Tom Eagles (Jojo Rabbit),Andrew Buckland (Ford v Ferrari),2,False
2019,Michael McCusker (Ford v Ferrari),True,0.291,3,Tom Eagles (Jojo Rabbit),Andrew Buckland (Ford v Ferrari),2,False
2019,Thelma Schoonmaker (The Irishman),False,0.1295,4,Tom Eagles (Jojo Rabbit),Andrew Buckland (Ford v Ferrari),2,False
2019,Jeff Groth (Joker),False,0.0206,5,Tom Eagles (Jojo Rabbit),Andrew Buckland (Ford v Ferrari),2,False
2020,Frédéric Thoraval (Promising Young Woman),False,0.8657,1,Frédéric Thoraval (Promising Young Woman),Mikkel E. G. Nielsen (Sound of Metal),3,False
2020,Yorgos Lamprinos (The Father),False,0.3619,2,Frédéric Thoraval (Promising Young Woman),Mikkel E. G. Nielsen (Sound of Metal),3,False
2020,Mikkel E. G. Nielsen (Sound of Metal),True,0.2727,3,Frédéric Thoraval (Promising Young Woman),Mikkel E. G. Nielsen (Sound of Metal),3,False
2020,Chloé Zhao (Nomadland),False,0.1829,4,Frédéric Thoraval (Promising Young Woman),Mikkel E. G. Nielsen (Sound of Metal),3,False
2020,Alan Baumgarten (The Trial of the Chicago 7),False,0.0951,5,Frédéric Thoraval (Promising Young Woman),Mikkel E. G. Nielsen (Sound of Metal),3,False
2021,Person_na_N_Dhongha_le (Belfast),False,0.1745,1,Person_na_N_Dhongha_le (Belfast),Elliot Graham (No Time to Die),3,False
