scored_at,system,category,year,source,model_type,logged_at,brier,n_candidates
2026-02-25,bafta,best_actor,2025,kalshi_market,,2026-02-21,0.220550,6
2026-02-25,bafta,best_actor,2025,model,RF,2026-02-21,0.188759,6
2026-02-25,bafta,best_actor,2025,polymarket,,2026-02-21,0.235502,6
2026-02-25,bafta,best_actress,2025,kalshi_market,,2026-02-21,0.000340,6
2026-02-25,bafta,best_actress,2025,model,LR,2026-02-21,0.104599,5
2026-02-25,bafta,best_actress,2025,polymarket,,2026-02-21,0.000654,6
2026-02-25,bafta,best_film,2025,kalshi_market,,2026-02-21,0.009460,5
2026-02-25,bafta,best_film,2025,model,LR,2026-02-21,0.116135,5
2026-02-25,bafta,best_film,2025,polymarket,,2026-02-21,0.006495,5
2026-02-25,bafta,best_supporting_actor,2025,kalshi_market,,2026-02-21,0.356858,4
2026-02-25,bafta,best_supporting_actor,2025,model,LR,2026-02-21,0.194626,5
2026-02-25,bafta,best_supporting_actor,2025,polymarket,,2026-02-21,0.298796,5
2026-02-25,bafta,best_supporting_actress,2025,kalshi_market,,2026-02-21,0.313860,4
2026-02-25,bafta,best_supporting_actress,2025,model,GB,2026-02-21,0.311538,4
2026-02-25,bafta,best_supporting_actress,2025,polymarket,,2026-02-21,0.248146,5
2026-03-01,sag,best_actor,2025,model,GB,2026-02-24,0.166567,5
2026-03-01,sag,best_actor,2025,kalshi_market,,2026-02-24,0.214571,5
2026-03-01,sag,best_actor,2025,kalshi_market,,2026-02-28,0.192471,5
2026-03-01,sag,best_actor,2025,kalshi_market,,2026-03-01,0.233348,5
2026-03-01,sag,best_actor,2025,model,unknown,2026-03-01,0.156364,5
2026-03-01,sag,best_actor,2025,polymarket,,2026-02-24,0.211875,5
2026-03-01,sag,best_actor,2025,polymarket,,2026-02-28,0.174476,5
2026-03-01,sag,best_actor,2025,polymarket,,2026-03-01,0.216530,5
2026-03-01,sag,best_actress,2025,model,LR,2026-02-24,0.096571,5
2026-03-01,sag,best_actress,2025,kalshi_market,,2026-02-24,0.002353,5
2026-03-01,sag,best_actress,2025,kalshi_market,,2026-02-28,0.010910,5
2026-03-01,sag,best_actress,2025,kalshi_market,,2026-03-01,0.012602,5
2026-03-01,sag,best_actress,2025,model,unknown,2026-03-01,0.114208,5
2026-03-01,sag,best_actress,2025,polymarket,,2026-02-24,0.001695,5
2026-03-01,sag,best_actress,2025,polymarket,,2026-02-28,0.016670,5
2026-03-01,sag,best_actress,2025,polymarket,,2026-03-01,0.019216,5
2026-03-01,sag,best_ensemble_cast,2025,model,LR+RF,2026-02-24,0.165565,5
2026-03-01,sag,best_ensemble_cast,2025,kalshi_market,,2026-02-24,0.057488,5
2026-03-01,sag,best_ensemble_cast,2025,kalshi_market,,2026-02-28,0.052387,5
2026-03-01,sag,best_ensemble_cast,2025,kalshi_market,,2026-03-01,0.080399,5
2026-03-01,sag,best_ensemble_cast,2025,model,unknown,2026-03-01,0.157875,5
2026-03-01,sag,best_ensemble_cast,2025,polymarket,,2026-02-24,0.057289,4
2026-03-01,sag,best_ensemble_cast,2025,polymarket,,2026-02-28,0.092320,4
2026-03-01,sag,best_ensemble_cast,2025,polymarket,,2026-03-01,0.098342,4
2026-03-01,sag,best_supporting_actor,2025,model,LR+RF,2026-02-24,0.112763,5
2026-03-01,sag,best_supporting_actor,2025,kalshi_market,,2026-02-24,0.087619,4
2026-03-01,sag,best_supporting_actor,2025,kalshi_market,,2026-02-28,0.047637,5
2026-03-01,sag,best_supporting_actor,2025,kalshi_market,,2026-03-01,0.054137,5
2026-03-01,sag,best_supporting_actor,2025,model,unknown,2026-03-01,0.108273,5
2026-03-01,sag,best_supporting_actor,2025,polymarket,,2026-02-24,0.078581,5
2026-03-01,sag,best_supporting_actor,2025,polymarket,,2026-02-28,0.046310,5
2026-03-01,sag,best_supporting_actor,2025,polymarket,,2026-03-01,0.057305,5
2026-03-01,sag,best_supporting_actress,2025,model,LR,2026-02-24,0.171779,5
2026-03-01,sag,best_supporting_actress,2025,kalshi_market,,2026-02-24,0.189350,5
2026-03-01,sag,best_supporting_actress,2025,kalshi_market,,2026-02-28,0.064283,5
2026-03-01,sag,best_supporting_actress,2025,kalshi_market,,2026-03-01,0.072671,5
2026-03-01,sag,best_supporting_actress,2025,model,unknown,2026-03-01,0.183299,5
2026-03-01,sag,best_supporting_actress,2025,polymarket,,2026-02-24,0.164129,5
2026-03-01,sag,best_supporting_actress,2025,polymarket,,2026-02-28,0.065539,5
2026-03-01,sag,best_supporting_actress,2025,polymarket,,2026-03-01,0.065365,5
