year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Emma Stone (La La Land),True,0.8229,1,Emma Stone (La La Land),Emma Stone (La La Land),1,True
2016,Isabelle Huppert (Elle),False,0.4353,2,Emma Stone (La La Land),Emma Stone (La La Land),1,True
2016,Ruth Negga (Loving),False,0.3943,3,Emma Stone (La La Land),Emma Stone (La La Land),1,True
2016,Natalie Portman (Jackie),False,0.3804,4,Emma Stone (La La Land),Emma Stone (La La Land),1,True
2016,Meryl Streep (Florence Foster Jenkins),False,0.2917,5,Emma Stone (La La Land),Emma Stone (La La Land),1,True
2017,"Frances McDormand (Three Billboards outside Ebbing, Missouri)",True,0.7594,1,"Frances McDormand (Three Billboards outside Ebbing, Missouri)","Frances McDormand (Three Billboards outside Ebbing, Missouri)",1,True
2017,Saoirse Ronan (Lady Bird),False,0.5842,2,"Frances McDormand (Three Billboards outside Ebbing, Missouri)","Frances McDormand (Three Billboards outside Ebbing, Missouri)",1,True
2017,Sally Hawkins (The Shape of Water),False,0.5473,3,"Frances McDormand (Three Billboards outside Ebbing, Missouri)","Frances McDormand (Three Billboards outside Ebbing, Missouri)",1,True
2017,"Margot Robbie (I, Tonya)",False,0.5009,4,"Frances McDormand (Three Billboards outside Ebbing, Missouri)","Frances McDormand (Three Billboards outside Ebbing, Missouri)",1,True
2017,Meryl Streep (The Post),False,0.346,5,"Frances McDormand (Three Billboards outside Ebbing, Missouri)","Frances McDormand (Three Billboards outside Ebbing, Missouri)",1,True
2018,Olivia Colman (The Favourite),True,0.8086,1,Olivia Colman (The Favourite),Olivia Colman (The Favourite),1,True
2018,Glenn Close (The Wife),False,0.6445,2,Olivia Colman (The Favourite),Olivia Colman (The Favourite),1,True
2018,Yalitza Aparicio (Roma),False,0.5038,3,Olivia Colman (The Favourite),Olivia Colman (The Favourite),1,True
2018,Lady Gaga (A Star Is Born),False,0.4738,4,Olivia Colman (The Favourite),Olivia Colman (The Favourite),1,True
2018,Melissa McCarthy (Can You Ever Forgive Me?),False,0.4321,5,Olivia Colman (The Favourite),Olivia Colman (The Favourite),1,True
2019,Renée Zellweger (Judy),True,0.6887,1,Renée Zellweger (Judy),Renée Zellweger (Judy),1,True
2019,Scarlett Johansson (Marriage Story),False,0.5351,2,Renée Zellweger (Judy),Renée Zellweger (Judy),1,True
2019,Saoirse Ronan (Little Women),False,0.4594,3,Renée Zellweger (Judy),Renée Zellweger (Judy),1,True
2019,Charlize Theron (Bombshell),False,0.3725,4,Renée Zellweger (Judy),Renée Zellweger (Judy),1,True
2019,Cynthia Erivo (Harriet),False,0.3717,5,Renée Zellweger (Judy),Renée Zellweger (Judy),1,True
2020,Viola Davis (Ma Rainey's Black Bottom),False,0.5758,1,Viola Davis (Ma Rainey's Black Bottom),Frances McDormand (Nomadland),2,False
2020,Frances McDormand (Nomadland),True,0.5331,2,Viola Davis (Ma Rainey's Black Bottom),Frances McDormand (Nomadland),2,False
2020,Carey Mulligan (Promising Young Woman),False,0.4737,3,Viola Davis (Ma Rainey's Black Bottom),Frances McDormand (Nomadland),2,False
2020,Andra Day (The United States vs. Billie Holiday),False,0.4141,4,Viola Davis (Ma Rainey's Black Bottom),Frances McDormand (Nomadland),2,False
2020,Vanessa Kirby (Pieces of a Woman),False,0.3798,5,Viola Davis (Ma Rainey's Black Bottom),Frances McDormand (Nomadland),2,False
2021,Jessica Chastain (The Eyes of Tammy Faye),True,0.5128,1,Jessica Chastain (The Eyes of Tammy Faye),Jessica Chastain (The Eyes of Tammy Faye),1,True
2021,Nicole Kidman (Being the Ricardos),False,0.4446,2,Jessica Chastain (The Eyes of Tammy Faye),Jessica Chastain (The Eyes of Tammy Faye),1,True
2021,Olivia Colman (The Lost Daughter),False,0.3887,3,Jessica Chastain (The Eyes of Tammy Faye),Jessica Chastain (The Eyes of Tammy Faye),1,True
