rank,feature,importance
1,golden_globes_actress_winner,0.13876031469760844
2,bafta_actress_winner,0.12267156913673194
3,sag_actress_winner,0.09626424836630681
4,directing_nom,0.08788423524693308
5,imdb_rating,0.07195090021050321
6,sag_winner,0.06481015399226864
7,other_noms,0.06332258742644115
8,rotten_tomatoes_pct,0.05767646707030759
9,rated_G,0.04708533004393449
10,country_non_english,-0.04220610032368857
11,venice_jury_prize,0.04043664851567002
12,previous_all_wins,-0.04036011377103428
13,acting_noms,0.037689683841800235
14,rated_PG,0.03599150210341443
15,golden_globes_actress_nominee,0.031076142553254082
16,genre_war,0.02621852477653221
17,genre_adventure,-0.02495516558395559
18,sundance_grand_jury,-0.020805083707598208
19,runtime,-0.019761307804755747
20,genre_horror,-0.018082309656681034
21,bafta_actress_nominee,0.010787049509297231
22,previous_actress_nominations,-0.00486135796121895
23,metacritic_score,-0.004788800258329065
24,technical_noms,0.0018925059197167332
25,sag_actress_nominee,0.0
