year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2015,The Revenant,False,0.618,1,The Revenant,Spotlight,4,False
2015,The Big Short,False,0.5321,2,The Revenant,Spotlight,4,False
2015,Room,False,0.4264,3,The Revenant,Spotlight,4,False
2015,Spotlight,True,0.4194,4,The Revenant,Spotlight,4,False
2015,Mad Max: Fury Road,False,0.3626,5,The Revenant,Spotlight,4,False
2015,Brooklyn,False,0.3599,6,The Revenant,Spotlight,4,False
2015,Bridge of Spies,False,0.3105,7,The Revenant,Spotlight,4,False
2015,The Martian,False,0.3008,8,The Revenant,Spotlight,4,False
2016,La La Land,False,0.73,1,La La Land,Moonlight,3,False
2016,Hacksaw Ridge,False,0.4295,2,La La Land,Moonlight,3,False
2016,Moonlight,True,0.4198,3,La La Land,Moonlight,3,False
2016,Manchester by the Sea,False,0.4145,4,La La Land,Moonlight,3,False
2016,Arrival,False,0.3738,5,La La Land,Moonlight,3,False
2016,Hell or High Water,False,0.3673,6,La La Land,Moonlight,3,False
2016,Lion,False,0.3623,7,La La Land,Moonlight,3,False
2016,Hidden Figures,False,0.3606,8,La La Land,Moonlight,3,False
2016,Fences,False,0.3368,9,La La Land,Moonlight,3,False
2017,The Shape of Water,True,0.7274,1,The Shape of Water,The Shape of Water,1,True
2017,Get Out,False,0.4305,2,The Shape of Water,The Shape of Water,1,True
2017,Dunkirk,False,0.4195,3,The Shape of Water,The Shape of Water,1,True
2017,Phantom Thread,False,0.4195,4,The Shape of Water,The Shape of Water,1,True
2017,Lady Bird,False,0.3994,5,The Shape of Water,The Shape of Water,1,True
2017,Call Me by Your Name,False,0.3675,6,The Shape of Water,The Shape of Water,1,True
2017,"Three Billboards outside Ebbing, Missouri",False,0.3643,7,The Shape of Water,The Shape of Water,1,True
2017,Darkest Hour,False,0.3398,8,The Shape of Water,The Shape of Water,1,True
2017,The Post,False,0.3131,9,The Shape of Water,The Shape of Water,1,True
2018,Roma,False,0.6113,1,Roma,Green Book,2,False
2018,Green Book,True,0.4828,2,Roma,Green Book,2,False
2018,The Favourite,False,0.4281,3,Roma,Green Book,2,False
2018,BlacKkKlansman,False,0.4246,4,Roma,Green Book,2,False
2018,Vice,False,0.4175,5,Roma,Green Book,2,False
2018,A Star Is Born,False,0.3577,6,Roma,Green Book,2,False
2018,Bohemian Rhapsody,False,0.3577,7,Roma,Green Book,2,False
2018,Black Panther,False,0.3157,8,Roma,Green Book,2,False
2019,1917,False,0.7298,1,1917,Parasite,2,False
2019,Parasite,True,0.4312,2,1917,Parasite,2,False
2019,Once upon a Time...in Hollywood,False,0.4078,3,1917,Parasite,2,False
