year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Mahershala Ali (Moonlight),True,0.5933,1,Mahershala Ali (Moonlight),Mahershala Ali (Moonlight),1,True
2016,Jeff Bridges (Hell or High Water),False,0.5552,2,Mahershala Ali (Moonlight),Mahershala Ali (Moonlight),1,True
2016,Dev Patel (Lion),False,0.5313,3,Mahershala Ali (Moonlight),Mahershala Ali (Moonlight),1,True
2016,Lucas Hedges (Manchester by the Sea),False,0.4442,4,Mahershala Ali (Moonlight),Mahershala Ali (Moonlight),1,True
2016,Michael Shannon (Nocturnal Animals),False,0.4027,5,Mahershala Ali (Moonlight),Mahershala Ali (Moonlight),1,True
2017,"Sam Rockwell (Three Billboards outside Ebbing, Missouri)",True,0.7451,1,"Sam Rockwell (Three Billboards outside Ebbing, Missouri)","Sam Rockwell (Three Billboards outside Ebbing, Missouri)",1,True
2017,"Woody Harrelson (Three Billboards outside Ebbing, Missouri)",False,0.4841,2,"Sam Rockwell (Three Billboards outside Ebbing, Missouri)","Sam Rockwell (Three Billboards outside Ebbing, Missouri)",1,True
2017,Christopher Plummer (All the Money in the World),False,0.4595,3,"Sam Rockwell (Three Billboards outside Ebbing, Missouri)","Sam Rockwell (Three Billboards outside Ebbing, Missouri)",1,True
2017,Willem Dafoe (The Florida Project),False,0.4469,4,"Sam Rockwell (Three Billboards outside Ebbing, Missouri)","Sam Rockwell (Three Billboards outside Ebbing, Missouri)",1,True
2017,Richard Jenkins (The Shape of Water),False,0.4134,5,"Sam Rockwell (Three Billboards outside Ebbing, Missouri)","Sam Rockwell (Three Billboards outside Ebbing, Missouri)",1,True
2018,Mahershala Ali (Green Book),True,0.7709,1,Mahershala Ali (Green Book),Mahershala Ali (Green Book),1,True
2018,Sam Rockwell (Vice),False,0.4991,2,Mahershala Ali (Green Book),Mahershala Ali (Green Book),1,True
2018,Adam Driver (BlacKkKlansman),False,0.4747,3,Mahershala Ali (Green Book),Mahershala Ali (Green Book),1,True
2018,Richard E. Grant (Can You Ever Forgive Me?),False,0.4639,4,Mahershala Ali (Green Book),Mahershala Ali (Green Book),1,True
2018,Sam Elliott (A Star Is Born),False,0.4393,5,Mahershala Ali (Green Book),Mahershala Ali (Green Book),1,True
2019,Brad Pitt (Once upon a Time...in Hollywood),True,0.7468,1,Brad Pitt (Once upon a Time...in Hollywood),Brad Pitt (Once upon a Time...in Hollywood),1,True
2019,Joe Pesci (The Irishman),False,0.5121,2,Brad Pitt (Once upon a Time...in Hollywood),Brad Pitt (Once upon a Time...in Hollywood),1,True
2019,Al Pacino (The Irishman),False,0.4792,3,Brad Pitt (Once upon a Time...in Hollywood),Brad Pitt (Once upon a Time...in Hollywood),1,True
