rank,feature,importance
1,golden_globes_supporting_actor_winner,0.1756141251638852
2,sag_supporting_actor_winner,0.11642463035804904
3,bafta_supporting_actor_winner,0.06157825881932651
4,writing_noms,0.059568889444644876
5,golden_globes_supporting_actor_nominee,0.05956747881418601
6,genre_western,0.058134196758589815
7,imdb_rating,0.05704406554940604
8,sag_winner,0.04759180251649934
9,genre_fantasy,-0.036172703668865595
10,previous_supporting_actor_wins,0.03420910432027665
11,genre_horror,-0.021255201710525883
12,spirit_best_film,-0.017849640597197874
13,nyfc_best_film,-0.012164060262159508
14,previous_all_wins,-0.009768152520362528
15,technical_noms,0.0061162291997449705
16,bafta_supporting_actor_nominee,0.005935087356259585
17,other_noms,0.0054821618903789695
18,vote_count,0.0008708808617765598
19,sag_supporting_actor_nominee,0.0
