year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Viola Davis (Fences),True,0.7182,1,Viola Davis (Fences),Viola Davis (Fences),1,True
2016,Naomie Harris (Moonlight),False,0.5618,2,Viola Davis (Fences),Viola Davis (Fences),1,True
2016,Nicole Kidman (Lion),False,0.4813,3,Viola Davis (Fences),Viola Davis (Fences),1,True
2016,Michelle Williams (Manchester by the Sea),False,0.4699,4,Viola Davis (Fences),Viola Davis (Fences),1,True
2016,Octavia Spencer (Hidden Figures),False,0.4336,5,Viola Davis (Fences),Viola Davis (Fences),1,True
2017,"Allison Janney (I, Tonya)",True,0.7695,1,"Allison Janney (I, Tonya)","Allison Janney (I, Tonya)",1,True
2017,Laurie Metcalf (Lady Bird),False,0.4545,2,"Allison Janney (I, Tonya)","Allison Janney (I, Tonya)",1,True
2017,Mary J. Blige (Mudbound),False,0.4531,3,"Allison Janney (I, Tonya)","Allison Janney (I, Tonya)",1,True
2017,Octavia Spencer (The Shape of Water),False,0.4515,4,"Allison Janney (I, Tonya)","Allison Janney (I, Tonya)",1,True
2017,Lesley Manville (Phantom Thread),False,0.4454,5,"Allison Janney (I, Tonya)","Allison Janney (I, Tonya)",1,True
2018,Rachel Weisz (The Favourite),False,0.5859,1,Rachel Weisz (The Favourite),Regina King (If Beale Street Could Talk),2,False
2018,Regina King (If Beale Street Could Talk),True,0.5115,2,Rachel Weisz (The Favourite),Regina King (If Beale Street Could Talk),2,False
2018,Emma Stone (The Favourite),False,0.4818,3,Rachel Weisz (The Favourite),Regina King (If Beale Street Could Talk),2,False
2018,Amy Adams (Vice),False,0.431,4,Rachel Weisz (The Favourite),Regina King (If Beale Street Could Talk),2,False
2018,Marina de Tavira (Roma),False,0.4136,5,Rachel Weisz (The Favourite),Regina King (If Beale Street Could Talk),2,False
2019,Laura Dern (Marriage Story),True,0.7284,1,Laura Dern (Marriage Story),Laura Dern (Marriage Story),1,True
2019,Scarlett Johansson (Jojo Rabbit),False,0.4702,2,Laura Dern (Marriage Story),Laura Dern (Marriage Story),1,True
2019,Florence Pugh (Little Women),False,0.4267,3,Laura Dern (Marriage Story),Laura Dern (Marriage Story),1,True
2019,Margot Robbie (Bombshell),False,0.4073,4,Laura Dern (Marriage Story),Laura Dern (Marriage Story),1,True
