rank,feature,importance
1,sag_supporting_actress_winner,0.12452668391835929
2,golden_globes_supporting_actress_winner,0.12312692170108276
3,bafta_supporting_actress_winner,0.10311494266995985
4,editing_nom,0.06795710110342736
5,num_wikidata_awards,0.05740111595910442
6,rated_R,-0.047589084403374005
7,genre_music,-0.04667928329962537
8,sag_winner,0.04350310072052841
9,golden_globes_supporting_actress_nominee,0.04273716972741444
10,release_month,-0.041658854943833305
11,previous_all_wins,-0.040342427026135656
12,vote_average,0.038810292026699375
13,vote_count,-0.03796916991430567
14,previous_supporting_actress_nominations,-0.03769141978205273
15,genre_western,-0.03595205273743656
16,lafca_best_film,-0.022464988110899278
17,previous_all_nominations,-0.020497146082948364
18,spirit_best_film,-0.018262569148759792
19,english_language,-0.013081631699654756
20,bafta_supporting_actress_nominee,0.008965669646924967
21,rotten_tomatoes_pct,-0.007394105994414936
22,country_non_english,-0.0029106158392852217
23,sag_supporting_actress_nominee,0.0
