year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Mary Zophres (La La Land),False,0.7872,1,Mary Zophres (La La Land),Colleen Atwood (Fantastic Beasts and Where to Find Them),4,False
2016,Madeline Fontaine (Jackie),False,0.4294,2,Mary Zophres (La La Land),Colleen Atwood (Fantastic Beasts and Where to Find Them),4,False
2016,Consolata Boyle (Florence Foster Jenkins),False,0.3459,3,Mary Zophres (La La Land),Colleen Atwood (Fantastic Beasts and Where to Find Them),4,False
2016,Colleen Atwood (Fantastic Beasts and Where to Find Them),True,0.2318,4,Mary Zophres (La La Land),Colleen Atwood (Fantastic Beasts and Where to Find Them),4,False
2016,Joanna Johnston (Allied),False,0.0595,5,Mary Zophres (La La Land),Colleen Atwood (Fantastic Beasts and Where to Find Them),4,False
2017,Mark Bridges (Phantom Thread),True,0.8138,1,Mark Bridges (Phantom Thread),Mark Bridges (Phantom Thread),1,True
2017,Luis Sequeira (The Shape of Water),False,0.7961,2,Mark Bridges (Phantom Thread),Mark Bridges (Phantom Thread),1,True
2017,Consolata Boyle (Victoria & Abdul),False,0.3241,3,Mark Bridges (Phantom Thread),Mark Bridges (Phantom Thread),1,True
2017,Jacqueline Durran (Beauty and the Beast),False,0.3172,4,Mark Bridges (Phantom Thread),Mark Bridges (Phantom Thread),1,True
2018,Sandy Powell (Mary Poppins Returns),False,0.4597,1,Sandy Powell (Mary Poppins Returns),Ruth Carter (Black Panther),3,False
2018,Alexandra Byrne (Mary Queen of Scots),False,0.2826,2,Sandy Powell (Mary Poppins Returns),Ruth Carter (Black Panther),3,False
2018,Ruth Carter (Black Panther),True,0.2639,3,Sandy Powell (Mary Poppins Returns),Ruth Carter (Black Panther),3,False
2018,Mary Zophres (The Ballad of Buster Scruggs),False,0.0493,4,Sandy Powell (Mary Poppins Returns),Ruth Carter (Black Panther),3,False
2019,Jacqueline Durran (Little Women),True,0.8512,1,Jacqueline Durran (Little Women),Jacqueline Durran (Little Women),1,True
2019,Christopher Peterson (The Irishman),False,0.6201,2,Jacqueline Durran (Little Women),Jacqueline Durran (Little Women),1,True
2019,Sandy Powell (The Irishman),False,0.6201,3,Jacqueline Durran (Little Women),Jacqueline Durran (Little Women),1,True
2019,Mayes C. Rubeo (Jojo Rabbit),False,0.2324,4,Jacqueline Durran (Little Women),Jacqueline Durran (Little Women),1,True
2019,Mark Bridges (Joker),False,0.2173,5,Jacqueline Durran (Little Women),Jacqueline Durran (Little Women),1,True
2019,Arianne Phillips (Once upon a Time...in Hollywood),False,0.2049,6,Jacqueline Durran (Little Women),Jacqueline Durran (Little Women),1,True
2020,Trish Summerville (Mank),False,0.6655,1,Trish Summerville (Mank),Ann Roth (Ma Rainey's Black Bottom),2,False
2020,Ann Roth (Ma Rainey's Black Bottom),True,0.6335,2,Trish Summerville (Mank),Ann Roth (Ma Rainey's Black Bottom),2,False
2020,Alexandra Byrne (Emma),False,0.2491,3,Trish Summerville (Mank),Ann Roth (Ma Rainey's Black Bottom),2,False
2020,Massimo Cantini Parrini (Pinocchio),False,0.1185,4,Trish Summerville (Mank),Ann Roth (Ma Rainey's Black Bottom),2,False
2020,Bina Daigeler (Mulan),False,0.0629,5,Trish Summerville (Mank),Ann Roth (Ma Rainey's Black Bottom),2,False
2021,Jenny Beavan (Cruella),True,0.6785,1,Jenny Beavan (Cruella),Jenny Beavan (Cruella),1,True
2021,Jacqueline West (Dune),False,0.6074,2,Jenny Beavan (Cruella),Jenny Beavan (Cruella),1,True
2021,Robert Morgan (Dune),False,0.6074,3,Jenny Beavan (Cruella),Jenny Beavan (Cruella),1,True
2021,Paul Tazewell (West Side Story),False,0.6049,4,Jenny Beavan (Cruella),Jenny Beavan (Cruella),1,True
2021,Massimo Cantini Parrini (Cyrano),False,0.0913,5,Jenny Beavan (Cruella),Jenny Beavan (Cruella),1,True
2021,Luis Sequeira (Nightmare Alley),False,0.0894,6,Jenny Beavan (Cruella),Jenny Beavan (Cruella),1,True
2021,Jacqueline Durran (Cyrano),False,0.0559,7,Jenny Beavan (Cruella),Jenny Beavan (Cruella),1,True
2022,Catherine Martin (Elvis),False,0.7437,1,Catherine Martin (Elvis),Ruth Carter (Black Panther: Wakanda Forever),3,False
2022,Shirley Kurata (Everything Everywhere All at Once),False,0.207,2,Catherine Martin (Elvis),Ruth Carter (Black Panther: Wakanda Forever),3,False
2022,Ruth Carter (Black Panther: Wakanda Forever),True,0.197,3,Catherine Martin (Elvis),Ruth Carter (Black Panther: Wakanda Forever),3,False
2022,Jenny Beavan (Mrs. Harris Goes to Paris),False,0.1878,4,Catherine Martin (Elvis),Ruth Carter (Black Panther: Wakanda Forever),3,False
2022,Mary Zophres (Babylon),False,0.172,5,Catherine Martin (Elvis),Ruth Carter (Black Panther: Wakanda Forever),3,False
2023,Holly Waddington (Poor Things),True,0.8228,1,Holly Waddington (Poor Things),Holly Waddington (Poor Things),1,True
2023,Ellen Mirojnick (Oppenheimer),False,0.4718,2,Holly Waddington (Poor Things),Holly Waddington (Poor Things),1,True
2023,Dave Crossman (Napoleon),False,0.4194,3,Holly Waddington (Poor Things),Holly Waddington (Poor Things),1,True
2023,Janty Yates (Napoleon),False,0.4194,4,Holly Waddington (Poor Things),Holly Waddington (Poor Things),1,True
2023,Jacqueline West (Killers of the Flower Moon),False,0.2885,5,Holly Waddington (Poor Things),Holly Waddington (Poor Things),1,True
2023,Jacqueline Durran (Barbie),False,0.0522,6,Holly Waddington (Poor Things),Holly Waddington (Poor Things),1,True
2024,Paul Tazewell (Wicked),True,0.8373,1,Paul Tazewell (Wicked),Paul Tazewell (Wicked),1,True
2024,Linda Muir (Nosferatu),False,0.5062,2,Paul Tazewell (Wicked),Paul Tazewell (Wicked),1,True
2024,Lisy Christl (Conclave),False,0.1243,3,Paul Tazewell (Wicked),Paul Tazewell (Wicked),1,True
2024,Arianne Phillips (A Complete Unknown),False,0.1126,4,Paul Tazewell (Wicked),Paul Tazewell (Wicked),1,True
2024,Dave Crossman (Gladiator II),False,0.0479,5,Paul Tazewell (Wicked),Paul Tazewell (Wicked),1,True
2024,Janty Yates (Gladiator II),False,0.0479,6,Paul Tazewell (Wicked),Paul Tazewell (Wicked),1,True
