rank,feature,importance
1,genre_thriller,-0.7992480163128762
2,bafta_costume_design_winner,0.7767132320719194
3,num_production_companies,-0.644302868501195
4,country_non_english,0.6173857195254228
5,genre_western,-0.6101889539573228
6,english_language,0.4741295047147111
7,nsfc_best_film,-0.4359480541458673
8,directing_nom,0.4286507511142385
9,technical_noms,0.4129280044723346
10,genre_history,0.3685109684608019
11,genre_horror,0.36305963391959556
12,cinematography_nom,0.35414821543121616
13,num_wikidata_awards,0.34422655518848794
14,genre_romance,0.3152717480019634
15,bafta_winner,0.27274397149639223
16,sag_winner,-0.16785468270341172
17,bafta_costume_design_nominee,-0.15275599359412342
