rank,feature,importance
1,vote_count,0.08642675962516677
2,vote_average,0.07757346118435669
3,genre_war,0.07396559967691112
4,release_month,0.07235273003879411
5,genre_adventure,0.07221743549123634
6,bafta_winner,0.06537105018250247
7,bafta_documentary_winner,0.055801261294077066
8,rotten_tomatoes_pct,0.05205905682116678
9,genre_drama,-0.03994241499343189
10,nominee_previous_wins_sum,0.037318195164313325
11,rated_G,-0.03444885057260455
12,genre_science_fiction,0.032310761765239886
13,nominee_previous_wins_max,0.02904213089518711
14,bafta_documentary_nominee,0.028462141547290036
15,sundance_grand_jury,-0.020099047818485278
16,nominee_previous_noms_sum,0.005617408322422372
17,nominee_previous_noms_avg,0.004553847000800272
18,nominee_previous_noms_max,-0.004526785300759387
