rank,feature,importance
1,imdb_rating,0.11299756584975626
2,writing_noms,0.10711215537487687
3,directing_nom,0.07478221547541994
4,genre_war,0.07289881001669332
5,globe_winner,0.0701487361680605
6,golden_globes_international_film_nominee,0.06779370272874656
7,golden_globes_international_film_winner,0.06142493388044045
8,metacritic_score,0.06118868209778055
9,technical_noms,0.05836001527600197
10,genre_fantasy,-0.04857130874436822
11,genre_romance,-0.047418693884480015
12,genre_documentary,-0.044082055292434745
13,num_wikidata_awards,0.04179858949617768
14,english_language,-0.032357162846470264
15,rotten_tomatoes_pct,-0.021188531669612636
16,bafta_winner,0.012048827381234795
17,cinematography_nom,-0.009773908025334264
18,bafta_international_film_winner,0.008477343891363122
19,bafta_international_film_nominee,0.00724977578916033
