year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Justin Hurwitz (La La Land),True,0.789,1,Justin Hurwitz (La La Land),Justin Hurwitz (La La Land),1,True
2016,Nicholas Britell (Moonlight),False,0.6419,2,Justin Hurwitz (La La Land),Justin Hurwitz (La La Land),1,True
2016,Dustin O'Halloran (Lion),False,0.483,3,Justin Hurwitz (La La Land),Justin Hurwitz (La La Land),1,True
2016,Hauschka (Lion),False,0.483,4,Justin Hurwitz (La La Land),Justin Hurwitz (La La Land),1,True
2016,Mica Levi (Jackie),False,0.4118,5,Justin Hurwitz (La La Land),Justin Hurwitz (La La Land),1,True
2016,Thomas Newman (Passengers),False,0.3896,6,Justin Hurwitz (La La Land),Justin Hurwitz (La La Land),1,True
2017,Alexandre Desplat (The Shape of Water),True,0.771,1,Alexandre Desplat (The Shape of Water),Alexandre Desplat (The Shape of Water),1,True
2017,Hans Zimmer (Dunkirk),False,0.5608,2,Alexandre Desplat (The Shape of Water),Alexandre Desplat (The Shape of Water),1,True
2017,Jonny Greenwood (Phantom Thread),False,0.5326,3,Alexandre Desplat (The Shape of Water),Alexandre Desplat (The Shape of Water),1,True
2017,"Carter Burwell (Three Billboards outside Ebbing, Missouri)",False,0.5088,4,Alexandre Desplat (The Shape of Water),Alexandre Desplat (The Shape of Water),1,True
2017,John Williams (Star Wars: The Last Jedi),False,0.3136,5,Alexandre Desplat (The Shape of Water),Alexandre Desplat (The Shape of Water),1,True
2018,Terence Blanchard (BlacKkKlansman),False,0.5887,1,Terence Blanchard (BlacKkKlansman),Ludwig Goransson (Black Panther),5,False
2018,Nicholas Britell (If Beale Street Could Talk),False,0.4807,2,Terence Blanchard (BlacKkKlansman),Ludwig Goransson (Black Panther),5,False
2018,Alexandre Desplat (Isle of Dogs),False,0.4495,3,Terence Blanchard (BlacKkKlansman),Ludwig Goransson (Black Panther),5,False
2018,Marc Shaiman (Mary Poppins Returns),False,0.4274,4,Terence Blanchard (BlacKkKlansman),Ludwig Goransson (Black Panther),5,False
2018,Ludwig Goransson (Black Panther),True,0.393,5,Terence Blanchard (BlacKkKlansman),Ludwig Goransson (Black Panther),5,False
2019,Hildur Guðnadóttir (Joker),True,0.7695,1,Hildur Guðnadóttir (Joker),Hildur Guðnadóttir (Joker),1,True
2019,Thomas Newman (1917),False,0.5604,2,Hildur Guðnadóttir (Joker),Hildur Guðnadóttir (Joker),1,True
2019,Randy Newman (Marriage Story),False,0.4933,3,Hildur Guðnadóttir (Joker),Hildur Guðnadóttir (Joker),1,True
2019,Alexandre Desplat (Little Women),False,0.4583,4,Hildur Guðnadóttir (Joker),Hildur Guðnadóttir (Joker),1,True
