rank,feature,importance
1,other_noms,0.11355549062449236
2,directing_nom,0.11262000276007575
3,num_wikidata_awards,0.09621029082482495
4,metacritic_score,0.06223479541036334
5,acting_noms,0.05906246704742446
6,bafta_production_design_winner,0.05632370370978089
7,genre_romance,0.05001215326794514
8,writing_noms,0.0436461808298398
9,genre_music,-0.03282442316048485
10,country_france,-0.031362397681441556
11,country_us,-0.03089305827558522
12,lafca_best_film,-0.025105086245141052
13,music_noms,0.02457779023498081
14,country_non_english,-0.023123087935290942
15,english_language,-0.02277374813320861
16,bafta_production_design_nominee,0.018773840189227498
17,nominee_previous_wins_avg,0.018762058623114534
18,genre_animation,-0.01504637782240833
19,nominee_previous_wins_sum,0.011625484376145861
20,nominee_previous_noms_max,0.011431505493394015
21,nominee_previous_noms_avg,0.005235279125974742
