year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2010,The King's Speech,True,0.6655,1,The King's Speech,The King's Speech,1,True
2010,Black Swan,False,0.5803,2,The King's Speech,The King's Speech,1,True
2010,The Social Network,False,0.3129,3,The King's Speech,The King's Speech,1,True
2010,The Fighter,False,0.2958,4,The King's Speech,The King's Speech,1,True
2010,The Kids Are All Right,False,0.1703,5,The King's Speech,The King's Speech,1,True
2011,The Artist,False,0.7942,1,The Artist,The Help,3,False
2011,Bridesmaids,False,0.3759,2,The Artist,The Help,3,False
2011,The Help,True,0.3309,3,The Artist,The Help,3,False
2011,Midnight in Paris,False,0.274,4,The Artist,The Help,3,False
2011,The Descendants,False,0.1661,5,The Artist,The Help,3,False
2012,Les Misérables,False,0.5881,1,Les Misérables,Argo,2,False
2012,Argo,True,0.4759,2,Les Misérables,Argo,2,False
2012,Lincoln,False,0.2854,3,Les Misérables,Argo,2,False
2012,Silver Linings Playbook,False,0.2481,4,Les Misérables,Argo,2,False
2012,The Best Exotic Marigold Hotel,False,0.1692,5,Les Misérables,Argo,2,False
2013,12 Years a Slave,False,0.542,1,12 Years a Slave,American Hustle,4,False
2013,The Butler,False,0.3631,2,12 Years a Slave,American Hustle,4,False
2013,Dallas Buyers Club,False,0.3098,3,12 Years a Slave,American Hustle,4,False
2013,American Hustle,True,0.222,4,12 Years a Slave,American Hustle,4,False
2013,August: Osage County,False,0.0219,5,12 Years a Slave,American Hustle,4,False
2014,Birdman or (The Unexpected Virtue of Ignorance),True,0.6169,1,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),1,True
2014,The Imitation Game,False,0.5018,2,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),1,True
2014,The Grand Budapest Hotel,False,0.454,3,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),1,True
2014,The Theory of Everything,False,0.3773,4,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),1,True
2014,Boyhood,False,0.1457,5,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),1,True
2015,The Big Short,False,0.4786,1,The Big Short,Spotlight,3,False
2015,Straight Outta Compton,False,0.3381,2,The Big Short,Spotlight,3,False
