rank,feature,importance
1,log_revenue,0.1916677873489112
2,bafta_best_film_winner,0.12090405857498254
3,globe_drama_winner,0.11031645468214882
4,budget_revenue_ratio,0.10609239328853642
5,pga_winner,0.0978937594748356
6,cast_star_power,0.0954725442619816
7,num_wikidata_awards,0.08756298643084336
8,dga_winner,0.055058771518095434
9,acting_noms,0.05053215068308489
10,cast_previous_noms_sum,0.03821385329198064
11,globe_comedy_winner,0.023633658940996373
12,cast_previous_wins_sum,0.022651581503603083
