rank,feature,importance
1,golden_globes_supporting_actor_winner,0.25065549163320155
2,oscars_supporting_actor_nominee,0.21681955302200479
3,bafta_supporting_actor_winner,0.10979328011639887
4,other_noms,0.10650327458872498
5,previous_supporting_actor_nominations,0.08428084514073565
6,above_line_noms,0.06005748253217421
7,acting_noms,0.06005748253217421
8,previous_all_wins,0.04849241169510287
9,dga_winner,0.04332332959078778
10,pga_winner,0.011944190250708047
11,previous_supporting_actor_wins,0.008072658897987089
